Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lemon,Fruits,Onion,Vegetables,Vanilla,Herbs
2,Cointreau,Liqueurs,Pepper,Spices,Coffee,Beverages
3,Nutmeg,Spices,Garlic,Herbs,Hazelnut,Nut
4,Orange,Fruits,Carrot,Other,Apricot,Fruits
5,Peychaud's Bitters,Alcohol,Leek,Vegetables,Cocoa,Other
6,Sweet vermouth,Alcohol,Olive oil,Oils,Marzipan,Other
7,Bénédictine,Alcohol,Timian,Herbs,Orange,Fruits
8,Light rum,Alcohol,White wine,Alcohol,Raspberry,Berries
9,Rye whiskey,Alcohol,Celery,Vegetables,Almond,Nut
10,Absinthe,Alcohol,Lemon,Fruits,Banana,Fruits
11,Allspice,Spices,Mustard,Condiments,Buttermilk,Dairy
12,Amaretto,Alcohol,Tomato,Vegetables,Cardamom,Spices
13,Angostura,Alcohol,Fennel,Vegetables,Champagne,Alcohol
14,Averna Amaro,Alcohol,Nutmeg,Spices,Cinnamon,Spices
15,Calvados,Alcohol,Bay leaf,Herbs,Cloves,Spices
16,Cream,Dairy,Beer,Alcohol,Currant,Berries
17,Dark rum,Alcohol,Creme fraiche,Dairy,Dark chocolate,Other
18,Fernet Branca,Alcohol,Paprika,Spices,Dark rum,Alcohol
19,Ginger ale,Beverages,Parsley,Herbs,Date,Fruits
20,Grand Marnier,Alcohol,Red wine,Alcohol,Fig,Fruits
21,Green chartreuse,Alcohol,White wine vinegar,Vinegars,Ginger,Herbs
22,Honey,Sugars,Allspice,Spices,Lemon,Fruits
23,Lime,Fruits,Bacon,Meats,Marsala,Alcohol
24,Maraschino liqueur,Alcohol,Basil,Herbs,Mascarpone,Cheeses
25,Mint,Herbs,Capers,Other,Nougat,Other
26,White wine,Alcohol,Celeriac,Vegetables,Pistachio,Nut
27,,,Chestnut,Nut,Portwine,Alcohol
28,,,Chicken,Meats,Raisin,Fruits
29,,,Chili,Herbs,Redcurrant,Berries
30,,,Chive,Herbs,Ladyfingers,Other
31,,,Cilantro,Herbs,White chocolate,Other
32,,,Cloves,Spices,,
33,,,Coconut,Nut,,
34,,,Cucumber,Vegetables,,
35,,,Dark chocolate,Other,,
36,,,Ginger,Herbs,,
37,,,Mayonnaise,Condiments,,
38,,,Mushroom,Vegetables,,
39,,,Orange,Fruits,,
40,,,Parmesan,Dairy,,
41,,,Parsley root,Vegetables,,
42,,,Pork,Meats,,
43,,,Portwine,Alcohol,,
44,,,Potato,Vegetables,,
45,,,Red cabbage,Vegetables,,
46,,,Rosemary,Herbs,,
47,,,Saffron,Herbs,,
48,,,Sesame seed,Seeds,,
49,,,Smoked paprika,Spices,,
50,,,Spring onion,Vegetables,,
51,,,Tarragon,Herbs,,
52,,,Walnut,Nut,,
53,,,Yoghurt,Dairy,,
