Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Maple syrup,Sugars,Onion,Vegetables,Lemon,Fruits
2,Pepper,Spices,Garlic,Herbs,Strawberry,Berries
3,,,Pepper,Spices,,
4,,,Olive oil,Oils,,
5,,,Carrot,Other,,
6,,,Timian,Herbs,,
7,,,Parsley,Herbs,,
8,,,Tomato,Vegetables,,
9,,,Celery,Vegetables,,
10,,,Chicken stock,Other,,
11,,,Cinnamon,Spices,,
12,,,Leek,Vegetables,,
13,,,Lemon,Fruits,,
14,,,Potato,Vegetables,,
15,,,Red wine,Alcohol,,
16,,,White wine,Alcohol,,
17,,,Allspice,Spices,,
18,,,Apple,Fruits,,
19,,,Bacon,Meats,,
20,,,Cardamom,Spices,,
21,,,Celeriac,Vegetables,,
22,,,Chili,Herbs,,
23,,,Cilantro,Herbs,,
24,,,Cloves,Spices,,
25,,,Cream,Dairy,,
26,,,Cumin,Spices,,
27,,,Fennel,Vegetables,,
28,,,Ginger,Herbs,,
29,,,Honey,Sugars,,
30,,,Mustard,Condiments,,
31,,,Nutmeg,Spices,,
32,,,Oragano,Herbs,,
33,,,Paprika,Spices,,
34,,,Parmesan,Dairy,,
35,,,Pickling vinegar,Vinegars,,
36,,,Red onion,Vegetables,,
37,,,Rosemary,Herbs,,
38,,,Shallot,Vegetables,,
39,,,Star anise,Spices,,
40,,,Turmeric,Spices,,
41,,,Almond,Nut,,
42,,,Anchovy,Meats,,
43,,,Apple cider vinegar,Vinegars,,
44,,,Apricot,Fruits,,
45,,,Arugula,Vegetables,,
46,,,Asparagus,Vegetables,,
47,,,Avocado,Vegetables,,
48,,,Balsamic vinegar,Vinegars,,
49,,,Basil,Herbs,,
50,,,Beef,Meats,,
51,,,Beef stock,Other,,
52,,,Beer,Alcohol,,
53,,,Beetroot,Vegetables,,
54,,,Bell pepper,Vegetables,,
55,,,Brandy,Alcohol,,
56,,,Butternut squash,Vegetables,,
57,,,Capers,Other,,
58,,,Caraway,Spices,,
59,,,Cashew,Nut,,
60,,,Cauliflower,Vegetables,,
61,,,Cayenne pepper,Spices,,
62,,,Cheddar,Cheeses,,
63,,,Chicken,Meats,,
64,,,Chick pea,Vegetables,,
65,,,Chive,Herbs,,
66,,,Chorizo,Meats,,
67,,,Coconut,Nut,,
68,,,Cognac,Alcohol,,
69,,,Coriander seed,Other,,
70,,,Courgette,Vegetables,,
71,,,Cream cheese,Cheeses,,
72,,,Creme fraiche,Dairy,,
73,,,Cucumber,Vegetables,,
74,,,Currant,Berries,,
75,,,Curry,Spices,,
76,,,Dark chocolate,Other,,
77,,,Dill,Herbs,,
78,,,Egg plant,Vegetables,,
79,,,Fennel seed,Spices,,
80,,,Fish sauce,Other,,
81,,,Flatleaf Parsley,Herbs,,
82,,,Garam masala,Spices,,
83,,,Goat cheese,Cheeses,,
84,,,Hazelnut,Nut,,
85,,,Kale,Vegetables,,
86,,,Ketchup,Condiments,,
87,,,Lime,Fruits,,
88,,,Mango,Fruits,,
89,,,Maple syrup,Sugars,,
90,,,Mascarpone,Cheeses,,
91,,,Mayonnaise,Condiments,,
92,,,Mint,Herbs,,
93,,,Mushroom,Vegetables,,
94,,,Orange,Fruits,,
95,,,Parsley root,Vegetables,,
96,,,Pea,Vegetables,,
97,,,Peanut butter,Nut,,
98,,,Pear,Fruits,,
99,,,Pine nut,Nut,,
100,,,Pointed cabbage,Vegetables,,
101,,,Pomegranate,Fruits,,
102,,,Pork,Meats,,
103,,,Portwine,Alcohol,,
104,,,Prune,Fruits,,
105,,,Pumpkin,Vegetables,,
106,,,Raisin,Fruits,,
107,,,Raspberry,Berries,,
108,,,Red cabbage,Vegetables,,
109,,,Rice,Other,,
110,,,Ricotta,Cheeses,,
111,,,Rye bread,Other,,
112,,,Saffron,Herbs,,
113,,,Sage,Herbs,,
114,,,Salmon,Meats,,
115,,,Sea buckthorn,Berries,,
116,,,Sesame seed,Seeds,,
117,,,Smoked paprika,Spices,,
118,,,Soy,Other,,
119,,,Spinach,Spices,,
120,,,Spring onion,Vegetables,,
121,,,Sundried tomato,Vegetables,,
122,,,Tarragon,Herbs,,
123,,,Vanilla,Herbs,,
124,,,Vegetable stock,Other,,
125,,,Vodka,Alcohol,,
126,,,Walnut,Nut,,
127,,,White wine vinegar,Vinegars,,
128,,,Worcestershire sauce,Condiments,,
129,,,Yoghurt,Dairy,,
130,,,Zucchini,Vegetables,,
