Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Orange,Fruits,Garlic,Herbs,Cinnamon,Spices
2,Lemon,Fruits,Olive oil,Oils,Cream,Dairy
3,Agave nectar,Sugars,Onion,Vegetables,Lemon,Fruits
4,Campari,Alcohol,Pepper,Spices,Pepper,Spices
5,Cinnamon,Spices,Carrot,Other,Walnut,Nut
6,Cloves,Spices,Lemon,Fruits,Almond,Nut
7,Cognac,Alcohol,Bay leaf,Herbs,Apple,Fruits
8,Grand Marnier,Alcohol,Leek,Vegetables,Beer,Alcohol
9,Light rum,Alcohol,Parmesan,Dairy,Cardamom,Spices
10,Lime,Fruits,Parsley,Herbs,Chicken stock,Other
11,Rum,Alcohol,Tomato,Vegetables,Dark chocolate,Other
12,St. Germain,Alcohol,Celery,Vegetables,Honey,Sugars
13,Vanilla,Herbs,Chicken stock,Other,Marzipan,Other
14,,,Chili,Herbs,Mascarpone,Cheeses
15,,,Cream,Dairy,Onion,Vegetables
16,,,Fennel,Vegetables,Ricotta,Cheeses
17,,,Mustard,Condiments,Rosemary,Herbs
18,,,Potato,Vegetables,Vanilla,Herbs
19,,,Shallot,Vegetables,Wood sorrel,Herbs
20,,,Timian,Herbs,,
21,,,Balsamic vinegar,Vinegars,,
22,,,Basil,Herbs,,
23,,,Cilantro,Herbs,,
24,,,Cognac,Alcohol,,
25,,,Creme fraiche,Dairy,,
26,,,Flatleaf Parsley,Herbs,,
27,,,Honey,Sugars,,
28,,,Mint,Herbs,,
29,,,Mushroom,Vegetables,,
30,,,Nutmeg,Spices,,
31,,,Oragano,Herbs,,
32,,,Pea,Vegetables,,
33,,,Red onion,Vegetables,,
34,,,Rosemary,Herbs,,
35,,,Spinach,Spices,,
36,,,Tarragon,Herbs,,
37,,,White wine vinegar,Vinegars,,
38,,,Allspice,Spices,,
39,,,Apple,Fruits,,
40,,,Asparagus,Vegetables,,
41,,,Bacon,Meats,,
42,,,Beef,Meats,,
43,,,Bell pepper,Vegetables,,
44,,,Bread,Other,,
45,,,Brocolli,Vegetables,,
46,,,Butternut squash,Vegetables,,
47,,,Capers,Other,,
48,,,Cardamom,Spices,,
49,,,Cayenne pepper,Spices,,
50,,,Celeriac,Vegetables,,
51,,,Chicken,Meats,,
52,,,Chive,Herbs,,
53,,,Cinnamon,Spices,,
54,,,Cloves,Spices,,
55,,,Coconut,Nut,,
56,,,Coriander seed,Other,,
57,,,Courgette,Vegetables,,
58,,,Cream cheese,Cheeses,,
59,,,Cucumber,Vegetables,,
60,,,Cumin,Spices,,
61,,,Curry,Spices,,
62,,,Dill,Herbs,,
63,,,Egg plant,Vegetables,,
64,,,Fennel seed,Spices,,
65,,,Feta,Cheeses,,
66,,,Ginger,Herbs,,
67,,,Goat cheese,Cheeses,,
68,,,Hazelnut,Nut,,
69,,,Kale,Vegetables,,
70,,,Ketchup,Condiments,,
71,,,Light rum,Alcohol,,
72,,,Maple syrup,Sugars,,
73,,,Mascarpone,Cheeses,,
74,,,Mayonnaise,Condiments,,
75,,,Orange,Fruits,,
76,,,Paprika,Spices,,
77,,,Parsley root,Vegetables,,
78,,,Pasta,Other,,
79,,,Peach,Fruits,,
80,,,Pear,Fruits,,
81,,,Pine nut,Nut,,
82,,,Pork,Meats,,
83,,,Portwine,Alcohol,,
84,,,Pumpkin,Vegetables,,
85,,,Pumpkin seed,Seeds,,
86,,,Raisin,Fruits,,
87,,,Rapeseed oil,Oils,,
88,,,Red wine,Alcohol,,
89,,,Rice,Other,,
90,,,Ricotta,Cheeses,,
91,,,Saffron,Herbs,,
92,,,Sage,Herbs,,
93,,,Salmon,Meats,,
94,,,Smoked paprika,Spices,,
95,,,Smoked salmon,Meats,,
96,,,Soy,Other,,
97,,,Spring onion,Vegetables,,
98,,,Star anise,Spices,,
99,,,Sundried tomato,Vegetables,,
100,,,Sweet potato,Vegetables,,
101,,,Vanilla,Herbs,,
102,,,Vegetable stock,Other,,
103,,,Walnut,Nut,,
104,,,Watercress,Vegetables,,
105,,,Worcestershire sauce,Condiments,,
106,,,Zucchini,Vegetables,,
