Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lemon,Fruits,Onion,Vegetables,Balsamic vinegar,Vinegars
2,Lime,Fruits,Garlic,Herbs,Carrot,Other
3,Worcestershire sauce,Condiments,Carrot,Other,Mustard,Condiments
4,Tabasco,Condiments,Olive oil,Oils,Onion,Vegetables
5,Tomato,Vegetables,Pepper,Spices,Soy,Other
6,Vodka,Alcohol,Tomato,Vegetables,Tomato,Vegetables
7,Pepper,Spices,Bay leaf,Herbs,,
8,Smoked paprika,Spices,Leek,Vegetables,,
9,Angostura,Alcohol,Timian,Herbs,,
10,Balsamic vinegar,Vinegars,Lemon,Fruits,,
11,Carrot,Other,Parmesan,Dairy,,
12,Chicken stock,Other,Parsley,Herbs,,
13,Garlic,Herbs,Red wine,Alcohol,,
14,Gin,Alcohol,White wine,Alcohol,,
15,Honey,Sugars,Apple,Fruits,,
16,Parsley,Herbs,Balsamic vinegar,Vinegars,,
17,Tonic,Beverages,Beef,Meats,,
18,,,Bell pepper,Vegetables,,
19,,,Chicken stock,Other,,
20,,,Chili,Herbs,,
21,,,Cilantro,Herbs,,
22,,,Cinnamon,Spices,,
23,,,Cloves,Spices,,
24,,,Cognac,Alcohol,,
25,,,Creme fraiche,Dairy,,
26,,,Cumin,Spices,,
27,,,Fennel,Vegetables,,
28,,,Flatleaf Parsley,Herbs,,
29,,,Ginger,Herbs,,
30,,,Honey,Sugars,,
31,,,Lime,Fruits,,
32,,,Mozzarella,Cheeses,,
33,,,Mushroom,Vegetables,,
34,,,Mustard,Condiments,,
35,,,Nutmeg,Spices,,
36,,,Oragano,Herbs,,
37,,,Paprika,Spices,,
38,,,Potato,Vegetables,,
39,,,Red onion,Vegetables,,
40,,,Rosemary,Herbs,,
41,,,Shallot,Vegetables,,
42,,,Smoked paprika,Spices,,
43,,,Spring onion,Vegetables,,
44,,,Worcestershire sauce,Condiments,,
45,,,Zucchini,Vegetables,,
46,,,Allspice,Spices,,
47,,,Anchovy,Meats,,
48,,,Apple cider vinegar,Vinegars,,
49,,,Arugula,Vegetables,,
50,,,Asparagus,Vegetables,,
51,,,Avocado,Vegetables,,
52,,,Bacon,Meats,,
53,,,Basil,Herbs,,
54,,,Bean,Vegetables,,
55,,,Bean sprout,Vegetables,,
56,,,Beef stock,Other,,
57,,,Beer,Alcohol,,
58,,,Brandy,Alcohol,,
59,,,Bread,Other,,
60,,,Butternut squash,Vegetables,,
61,,,Capers,Other,,
62,,,Caraway,Spices,,
63,,,Cardamom,Spices,,
64,,,Cauliflower,Vegetables,,
65,,,Cayenne pepper,Spices,,
66,,,Celeriac,Vegetables,,
67,,,Cheddar,Cheeses,,
68,,,Chestnut,Nut,,
69,,,Chicken,Meats,,
70,,,Chick pea,Vegetables,,
71,,,Chive,Herbs,,
72,,,Chorizo,Meats,,
73,,,Coconut,Nut,,
74,,,Corn,Vegetables,,
75,,,Courgette,Vegetables,,
76,,,Cream,Dairy,,
77,,,Cucumber,Vegetables,,
78,,,Curry,Spices,,
79,,,Dark chocolate,Other,,
80,,,Dill,Herbs,,
81,,,Egg plant,Vegetables,,
82,,,Fennel seed,Spices,,
83,,,Fig,Fruits,,
84,,,Fish sauce,Other,,
85,,,Garam masala,Spices,,
86,,,Kale,Vegetables,,
87,,,Ketchup,Condiments,,
88,,,Lemongrass,Herbs,,
89,,,Maple syrup,Sugars,,
90,,,Mascarpone,Cheeses,,
91,,,Mayonnaise,Condiments,,
92,,,Mint,Herbs,,
93,,,Orange,Fruits,,
94,,,Parsley root,Vegetables,,
95,,,Pasta,Other,,
96,,,Pea,Vegetables,,
97,,,Pear,Fruits,,
98,,,Pine nut,Nut,,
99,,,Pomegranate,Fruits,,
100,,,Pork,Meats,,
101,,,Portwine,Alcohol,,
102,,,Prune,Fruits,,
103,,,Pumpkin,Vegetables,,
104,,,Pumpkin seed,Seeds,,
105,,,Rapeseed oil,Oils,,
106,,,Red cabbage,Vegetables,,
107,,,Rice,Other,,
108,,,Ricotta,Cheeses,,
109,,,Rye bread,Other,,
110,,,Saffron,Herbs,,
111,,,Sage,Herbs,,
112,,,Salmon,Meats,,
113,,,Sesame seed,Seeds,,
114,,,Spinach,Spices,,
115,,,Star anise,Spices,,
116,,,Sundried tomato,Vegetables,,
117,,,Tarragon,Herbs,,
118,,,Turmeric,Spices,,
119,,,Vanilla,Herbs,,
120,,,Vegetable stock,Other,,
121,,,Vodka,Alcohol,,
122,,,Walnut,Nut,,
123,,,White wine vinegar,Vinegars,,
124,,,Yoghurt,Dairy,,
