Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lime,Fruits,Garlic,Herbs,Garlic,Herbs
2,Lemon,Fruits,Olive oil,Oils,Ginger,Herbs
3,Tomato,Vegetables,Onion,Vegetables,Onion,Vegetables
4,Worcestershire sauce,Condiments,Lemon,Fruits,Paprika,Spices
5,Tabasco,Condiments,Carrot,Other,Cardamom,Spices
6,Celery,Vegetables,Parsley,Herbs,Cinnamon,Spices
7,Smoked paprika,Spices,Timian,Herbs,Lemon,Fruits
8,Vodka,Alcohol,Tomato,Vegetables,Chicken stock,Other
9,Bay leaf,Herbs,Bay leaf,Herbs,Chili,Herbs
10,Bourbon,Alcohol,Chili,Herbs,Cream,Dairy
11,Cinnamon,Spices,Cumin,Spices,Honey,Sugars
12,Cointreau,Liqueurs,Mustard,Condiments,Mustard,Condiments
13,Cream,Dairy,Parmesan,Dairy,Olive oil,Oils
14,Grapefruit,Fruits,Potato,Vegetables,Parsley,Herbs
15,Maple syrup,Sugars,Red onion,Vegetables,Vanilla,Herbs
16,Nutmeg,Spices,Apple,Fruits,Almond,Nut
17,Orange,Fruits,Apple cider vinegar,Vinegars,Buttermilk,Dairy
18,Pineapple,Fruits,Avocado,Vegetables,Cayenne pepper,Spices
19,Shallot,Vegetables,Bacon,Meats,Cheddar,Cheeses
20,Tequila,Alcohol,Balsamic vinegar,Vinegars,Cloves,Spices
21,,,Basil,Herbs,Cocoa,Other
22,,,Beef,Meats,Creme fraiche,Dairy
23,,,Bell pepper,Vegetables,Mayonnaise,Condiments
24,,,Celery,Vegetables,Smoked paprika,Spices
25,,,Cheddar,Cheeses,Strawberry,Berries
26,,,Chicken,Meats,Timian,Herbs
27,,,Chicken stock,Other,Avocado,Vegetables
28,,,Chive,Herbs,Carrot,Other
29,,,Cilantro,Herbs,Cilantro,Herbs
30,,,Cinnamon,Spices,Dark chocolate,Other
31,,,Cloves,Spices,Elderflower,Herbs
32,,,Creme fraiche,Dairy,Hazelnut,Nut
33,,,Cucumber,Vegetables,Licorice,Candy
34,,,Curry,Spices,Lime,Fruits
35,,,Dill,Herbs,Marshmallow,Candy
36,,,Ginger,Herbs,Marzipan,Other
37,,,Honey,Sugars,Orange,Fruits
38,,,Leek,Vegetables,Oragano,Herbs
39,,,Lime,Fruits,Parmesan,Dairy
40,,,Mayonnaise,Condiments,Pistachio,Nut
41,,,Mint,Herbs,Red onion,Vegetables
42,,,Mushroom,Vegetables,Sesame seed,Seeds
43,,,Nutmeg,Spices,Soy,Other
44,,,Oragano,Herbs,White wine,Alcohol
45,,,Paprika,Spices,Worcestershire sauce,Condiments
46,,,Rosemary,Herbs,Allspice,Spices
47,,,Smoked paprika,Spices,Apricot,Fruits
48,,,Spinach,Spices,Arugula,Vegetables
49,,,Spring onion,Vegetables,Black tea,Beverages
50,,,White wine,Alcohol,Cranberry,Berries
51,,,Worcestershire sauce,Condiments,Cream cheese,Cheeses
52,,,Yoghurt,Dairy,Cumin,Spices
53,,,Zucchini,Vegetables,Grand Marnier,Alcohol
54,,,Allspice,Spices,Grapefruit,Fruits
55,,,Almond,Nut,Mint,Herbs
56,,,Anchovy,Meats,Nutmeg,Spices
57,,,Apple cider,Alcohol,Pea,Vegetables
58,,,Apple vinegar,Vinegars,Pine nut,Nut
59,,,Apricot,Fruits,Redcurrant,Berries
60,,,Arugula,Vegetables,Rosewater,Other
61,,,Asparagus,Vegetables,Rosemary,Herbs
62,,,Banana,Fruits,Star anise,Spices
63,,,Bean,Vegetables,Sweet potato,Vegetables
64,,,Bean sprout,Vegetables,Turmeric,Spices
65,,,Beef stock,Other,Walnut,Nut
66,,,Beer,Alcohol,White chocolate,Other
67,,,Beetroot,Vegetables,Yoghurt,Dairy
68,,,Bergamot,Fruits,,
69,,,Black tea,Beverages,,
70,,,Blood orange,Fruits,,
71,,,Blueberry,Berries,,
72,,,Brandy,Alcohol,,
73,,,Bread,Other,,
